Serial Number,Song Name,Hebrew Date Folder,Singer,Copied Drive ID
1,יחיאל גיניגר - עמדי,שבט תשפה,שירים מהדרייב,1WIEt28AmrHOcH4UJQcro0r1YeF8WDA_X
2,יואלי קליין ומנדי וייס - אין קדוש כהשם,שבט תשפה,שירים מהדרייב,1xbvbg6_FLX1M2pkqeFFDovEmWGZV8F41
3,זושא - Needed You,שבט תשפה,שירים מהדרייב,1rdTHWGJM7CUZmRgqU9y_-iyc-7LBV1Fp
4,יוסף קרדונר - עיקר גדולתו,שבט תשפה,שירים מהדרייב,164HtEVeZlDF427fF749rhekbQuAa-XEL
5,יהונתן ניצן - פתאום שעה אחת,שבט תשפה,שירים מהדרייב,1U0uxIPbto0oFAUyYn_Rvn6gaUOike8Ai
6,חיים מרדכי עקשטיין  - אילן,שבט תשפה,שירים מהדרייב,1PwzsbiXytz0SBg6zm9b1WR1V4v7RsxMo
7,יוסל לייפער ויונתן בלוי - אילן,שבט תשפה,שירים מהדרייב,1fSa8_9cX1evEJBPl7DgLoDueE8hpPH-s
8,יהוידע שחר - מול כל המלחמות,שבט תשפה,שירים מהדרייב,1i--W9lzhKHE_MjekxIj2wySX08ik60VS
9,וואלווי רוזנברג - אלוקי נשמה,שבט תשפה,שירים מהדרייב,1meyRU__8E3dwsT7XaCoHDMhFcQjy3s8p
10,יענקי רובין - השם נפשנו בחיים,שבט תשפה,שירים מהדרייב,1ojhoBsXPLlOgNF9OM964uJdUuFrUNXt0
11,ישראל גברא ודייויד טויב - קם ונופל,שבט תשפה,שירים מהדרייב,1YkS2P8sYyp9YV8H4pylycsisEsN5Mof_
12,ישראל סוסנה וישיבת ירוחם - התנערי - שאבעס שיר,שבט תשפה,שירים מהדרייב,1gRTvLRqgYiQcQI19aO7En4Ia2aAUXFvQ
13,מאיר אדלר - נפתלי'ס גבאי,שבט תשפה,שירים מהדרייב,11BI7Awp8FOIcC1RtiHDbrRnFFXktkDpk
14,מקהלת זינגערליך - אחינו כל בית ישראל,שבט תשפה,שירים מהדרייב,1meiWTvM8eie8SozLFSurWQZOqJSNjEES
15,לוי פאלקאוויטש ומיילך קאהן - ניגון מצוה טאנץ קרעטשניף,שבט תשפה,שירים מהדרייב,18nUdhWqH5_ZKcwNBFOEzf78JfHD-_bRu
16,מנחם & לוי סגל - תראה,שבט תשפה,שירים מהדרייב,1WEWXEGWBnyqCLg_MNgw_moHoxRjeSH_n
17,מאיר ענגעל - אז ישיר,שבט תשפה,שירים מהדרייב,1GJHsd-g2ms9CbosKCwHvG1CJrB5naaNY
18,משה אייזנברג - שהחיינו,שבט תשפה,שירים מהדרייב,1RCqbNSd7hUmzwd0hcCkMFjrQHZFdAmNV
19,מקהלת קאפלה - הארציג - זינג מיט קאפלה 1,שבט תשפה,שירים מהדרייב,1XY6wSz_OKVpiEJj1PRW7Qselbny293XT
20,נסים סאאל - בריך שמיה,שבט תשפה,שירים מהדרייב,1lPc1uhc1OtDIUtIzBrs5UlQunAwnRGRE
21,נעם דוד אהרן - בליבי,שבט תשפה,שירים מהדרייב,1AqhwpzT1hFmJLhAKYuT3C0-LU6zNA7Ur
22,נריה גרנות ומקהלת משאלות - אחינו,שבט תשפה,שירים מהדרייב,1hD-Qrlx8exBxtqHJDQVxj5V64BTCre4V
23,נתנאל ישראל - מה עובר עליי,שבט תשפה,שירים מהדרייב,1w32luOEgjBlJvhJr5vHZ9NdOsaI-Opep
24,רפאל מאיר הלפרט - השבת נועם הנשמות,שבט תשפה,שירים מהדרייב,1kt664NYIfqwhcg6KA8s_Vk_GlliKgsw3
25,נתי רובין - פאר אים,שבט תשפה,שירים מהדרייב,1x-9AXAfXLeXM5bonjNqaGGygPpedsfvm
26,פסח איידנסון ומוישי ולס - כי לה' המלוכה,שבט תשפה,שירים מהדרייב,1g5PAvKqZ99yM2pj0Z6Rf1B9ZrxLYvSDO
27,נתנאל אבקסיס - געגועים,שבט תשפה,שירים מהדרייב,1JzzzLt-8iONWqru9ovBAynROviE6LhYw
28,עמרם אקער - רבי'שע מאמענטן - זה היום,שבט תשפה,שירים מהדרייב,1z5pIx1-LCe2kKgM77tuhghKctgYyqtgm
29,עמרם אקער - רבי'שע מאמענטן - ואילו פינו,שבט תשפה,שירים מהדרייב,1saOQWq4ur2uZ5fYbPAApb3Y5x76VDdri
30,"שוכי גולדשטיין, מאיר אדלר, בנצי שטיין - א שאבעס אין ויז'ניץ",שבט תשפה,שירים מהדרייב,18MurOKGfZHIW9OK5wWIsD5qc0TlKvsRO
31,שולי רנד - אילו כולנו חכמים,שבט תשפה,שירים מהדרייב,14XkYd4xxcswT1QWrQAHk88y10rQgelic
32,שלמה גובי & חברותא - הצדיק היה אומר,שבט תשפה,שירים מהדרייב,1-nSFad_mMRAk9sAVLkmYkqnoaIIP9JMD
33,שלוימי מאיר ושוקי סלומון - שיר לארץ הקודש,שבט תשפה,שירים מהדרייב,1ktJ5GDCotc_1sfmjuUFeGhRsfDM6GZiS
34,שולי רנד - דממה דקה,שבט תשפה,שירים מהדרייב,1xCRsdXxsL0N3D3RJjiQ1OS1nPUIO9DgE
35,שולי רנד - עולם הפוך,שבט תשפה,שירים מהדרייב,1_FDKIdfRAfTkGnpiJqnlyUJxPk8tQPNa
36,שולי רנד - לגלגל את זה הלאה,שבט תשפה,שירים מהדרייב,1ydfjtGnH8CuEqZ2uCRp5d22dVrbn6Nkf
37,שולי רנד - המלאך שלי,שבט תשפה,שירים מהדרייב,1hrHTDZ-DhOECDv7SCqCA0AlDInacQD0r
38,שולי רנד - שבע השנים הטובות,שבט תשפה,שירים מהדרייב,1gMmWtbuGqUZqQWx_gfDsbAXOjPMhC_Kx
39,שי זוהר - תקווה,שבט תשפה,שירים מהדרייב,1La53Odb2_ttCfsXfN_9aO3DHj9CPTBQK
40,שולי רנד - נהר המטהר מכל הכתמים,שבט תשפה,שירים מהדרייב,1anyy8TgQ1soF2t47oPt1O4fLK-zUMXCM
41,שמוליק סוכות - עם יפה,שבט תשפה,שירים מהדרייב,1MboMGO-lkd6flGYuhD9I3H4MZTrNH7sI
