Artist,Paragraph A,Paragraph B,Paragraph C,Image Link,
אברהם פריד,הוא זמר ויוצר חסידי-אמריקאי בולט. מכונה ''גדול הזמר החסידי''.,פריד החל את דרכו המוזיקלית בראשית שנות ה-80 של המאה ה-20 והוציא עשרות אלבומים ובהם שירים שהפכו ללהיטים. כמה מאלבומי האולפן שלו זכו למעמד אלבום פלטינה וזהב. מראשית המאה ה-21 הוא משתף פעולה גם עם יוצרים ישראלים בולטים.,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Avraham_Fried_3.jpg,
בערי וועבר,"הוא זמר חסידי מוכר, תושב ארצות הברית, חסיד ברסלב.","וובר נולד בניו יורק למשפחה המשתייכת לחסידות פאפא. החל לשיר בגיל 9, אם כי הקריירה שלו החלה רק עם יציאת אלבומו הראשון בשנת 2007. וובר נחשב לכוכב עולה במוזיקה החסידית ובראיון עמו באתר בחדרי חרדים הוא כונה בתואר היורש של מבד.","בהמשך פרש מחסידות פאפא, וכעת הוא מזוהה עם חסידות ברסלב. הוא החל לנסוע לאומן מדי ראש השנה ומופיע שם מול אלפי אנשים.",,
פיני איינהורן,הוא זמר יוצר חסידי-ישראלי, השר בסוגת המוזיקה החסידית.,את הקריירה המוזיקלית שלו החל במקהלה של חסידות בעלזא בניצוחו של דודי קאליש. בהמשך חבר למקהלת ידידים ובהמשך פרש לטובת קריירה עצמאית.,ביוני 2017 הוציא את סינגל הבכורה שלו - ''ומשתוקק'' בדואט יחד עם ילד הפלא ארי רייך ובליווי מקהלת ידידים בה היה חבר.,,
מוטי שטיינמץ,"(ישראל ברוך מרדכי) הוא זמר חרדי-חסידי ישראלי בולט המכונה ''אמן הרגש''. שר מוזיקה חסידית ובעיקר שירי רגש, נשמה והתעוררות.","בחודש חשוון תשע''ח הוציא לאור את אלבום הבכורה שלו 'הנשמה בקרבי' בהפקתו של יוסי רובין. האלבום זכה להצלחה מסחרית ולאחר כחצי שנה הגיע למעמד אלבום פלטינה. ","ביוני 2018 הוציא דואט עם ישי ריבו בשם ''נפשי'' על המילים ''נַפְשִׁי חָמְדָה בְּצֵל יָדֶךָ, לָדַעַת כָּל רָז סוֹדֶךָ'' מתוך שיר הכבוד. השיר זכה ללמעלה ממיליון האזנות ביוטיוב תוך כחודשיים, ונכון לדצמבר 2023, עבר למעלה מ-12 מיליון צפיות.",https://upload.wikimedia.org/wikipedia/commons/5/52/%D7%9E%D7%95%D7%98%D7%99_%D7%A9%D7%98%D7%99%D7%99%D7%A0%D7%9E%D7%A5.jpg,
מוטי וייס,(נולד בשנת ה'תשנ''ב) הוא זמר-יוצר ומוזיקאי חסידי ישראלי.,"מוטי וייס נולד באשדוד למשפחה של חסידי ויז'ניץ. הוא למד לנגן על קלידים בגיל תשע. מאוחר יותר, כשלמד בישיבת חת''ם סופר בבני ברק התחיל לנגן באופן פומבי, אך גם אז לא נהג לשיר בציבור.","את סינגל הבכורה שלו (''יבנה המקדש'') הוציא אחרי ביקור באיטליה ליארצייט של רבי משה דוד ואלי. באותה שבת התארח בבית חב''ד בו שרו את השיר עד שמוטי החליט להוציא אותו כסינגל הפריצה שלו. השיר פורסם באוקטובר 2017 בליווי קליפ שצבר 130 אלף צפיות ביוטיוב.",,
חיים ישראל,(נולד בשם חיים אשואל ב-22 באוקטובר 1975, י''ז בחשון ה'תשל''ו) הוא זמר חרדי מזרחי ים תיכוני חסידי.,"בתמוז ה'תשפ''ג (20 ביוני 2023) הוציא את אלבומו ה-18 ''חיברתי מנגינות'' (אלבום כפול) הכולל בתוכו את הלהיטים: ''אל תיפול'' עם גדול הזמר החסידי אברהם פריד והמלחין בנצי שטיין, ''אבא איתי'' עם ארי היל, ''השבת שלי'', ''פסיעותיי'', ''שפכי כמים ליבך'', ''בלילות'', ''מלוך עוזר'', ''בן אהוב'', ''ה' מלך'', ''תפילות'', ''אל מסתתר'' עם יואב יצחק, ו''הייא הייא'' בשפה המרוקאית ועוד... האלבום כולל 25 רצועות.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Haim_Israel.jpg/575px-Haim_Israel.jpg,
יאיר אליצור,הידוע בשם הבמה אלייצור הוא ראפר וזמר דתי ישראלי המשתייך לחסידות ברסלב.,"בגיל ארבע עשרה התפרסם כזמר ראפ והופיע במועדונים שונים. בתקופה זאת חבר להרכב רחוב שומשום והוציא את השירים ''עופי יונה'', ''מבצע 101'', ''לכבוד נבו'', ''כוכב'', ''מחר אתה חוזר'', ו''אין לנו כסף''.","בנובמבר 2016 החל אליצור בהקלטת אלבום הבכורה ''במקום אחר בעולם'' שהוקלט באולפני ''סייעתא דשמיא'' בעיבודו של ליאור משה. באפריל 2017 הנפיק אליצור את השיר ''לרוץ אחריך'' שהפך ללהיט וזכה לקאברים רבים. השיר הושמע בגלגלצ ובתחנות הרדיו אחרות, וזכה עם הקאברים לשתים עשרה מיליון צפיות.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/%D7%90%D7%9C%D7%99%D7%99%D7%A6%D7%95%D7%A8_3.jpg/800px-%D7%90%D7%9C%D7%99%D7%99%D7%A6%D7%95%D7%A8_3.jpg,
